"Iso"	"Species"	"Trial"	"IR"	"CR"
"I43"	"Chlamydomonas bilatus"	3	0.1574	0.0059
"I43"	"Chlamydomonas bilatus"	4	0	0
"I43"	"Chlamydomonas bilatus"	5	0.3138	0.0122
"I44"	"Chlamydomonas bilatus"	1	0.0438	0.0029
"I44"	"Chlamydomonas bilatus"	2	0.0956	0.0058
"I44"	"Chlamydomonas bilatus"	3	0.0993	0.0059
"I44"	"Chlamydomonas bilatus"	4	0.1429	0.0084
"I44"	"Chlamydomonas bilatus"	5	0.1279	0.0074
"I45"	"Chlamydomonas bilatus"	1	0.1115	0.0047
"I45"	"Chlamydomonas bilatus"	2	0.0678	0.0029
"I45"	"Chlamydomonas bilatus"	3	0.1106	0.0047
"I45"	"Chlamydomonas bilatus"	4	0.102	0.0049
"I45"	"Chlamydomonas bilatus"	5	0.0789	0.0033
"I46"	"Chlamydomonas bilatus"	1	0.1207	0.0056
"I46"	"Chlamydomonas bilatus"	2	0.0653	0.0031
"I46"	"Chlamydomonas bilatus"	3	0.1442	0.0069
"I46"	"Chlamydomonas bilatus"	4	0.0871	0.0049
"I46"	"Chlamydomonas bilatus"	5	0.1087	0.0051
"I47"	"Chlamydomonas bilatus"	1	0.0428	0.0018
"I47"	"Chlamydomonas bilatus"	2	0.1068	0.0041
"I47"	"Chlamydomonas bilatus"	3	0.1709	0.0064
"I47"	"Chlamydomonas bilatus"	4	0.0023	1e-04
"I47"	"Chlamydomonas bilatus"	5	0.2321	0.0089
"I48"	"Chlamydomonas bilatus"	1	0.0732	0.0032
"I48"	"Chlamydomonas bilatus"	2	0.1185	0.0049
"I48"	"Chlamydomonas bilatus"	3	0.1718	0.0069
"I48"	"Chlamydomonas bilatus"	4	0.197	0.0097
"I48"	"Chlamydomonas bilatus"	5	0.2233	0.0092
"I49"	"Chlamydomonas bilatus"	1	0.0862	0.0032
"I49"	"Chlamydomonas bilatus"	2	0.0967	0.0035
"I49"	"Chlamydomonas bilatus"	3	0.148	0.0055
"I49"	"Chlamydomonas bilatus"	4	0.1123	0.0048
"I49"	"Chlamydomonas bilatus"	5	0.129	0.0047
"I50"	"Chlamydomonas bilatus"	1	0.0178	8e-04
"I50"	"Chlamydomonas bilatus"	2	0.0075	4e-04
"I50"	"Chlamydomonas bilatus"	3	0.1367	0.0069
"I50"	"Chlamydomonas bilatus"	4	0.0993	0.0055
"I50"	"Chlamydomonas bilatus"	5	0.0207	0.0011
"I51"	"Chlamydomonas bilatus"	1	0.0515	0.0023
"I51"	"Chlamydomonas bilatus"	2	0.1662	0.0071
"I51"	"Chlamydomonas bilatus"	3	0.2835	0.0137
"I51"	"Chlamydomonas bilatus"	4	0.0723	0.0039
"I51"	"Chlamydomonas bilatus"	5	0.0978	0.0048
"I52"	"Chlamydomonas bilatus"	1	0.0422	0.002
"I52"	"Chlamydomonas bilatus"	2	0.0507	0.0024
"I52"	"Chlamydomonas bilatus"	3	0.1237	0.0062
"I52"	"Chlamydomonas bilatus"	4	0.2432	0.0117
"I52"	"Chlamydomonas bilatus"	5	0.0918	0.0046
"I53"	"Chlamydomonas bilatus"	1	0.0781	0.0036
"I53"	"Chlamydomonas bilatus"	2	0.0732	0.0036
"I53"	"Chlamydomonas bilatus"	3	0.2648	0.0131
"I53"	"Chlamydomonas bilatus"	4	0.142	0.0069
"I53"	"Chlamydomonas bilatus"	5	0.2203	0.0108
"I54"	"Chlamydomonas bilatus"	1	0.0274	0.001
"I54"	"Chlamydomonas bilatus"	2	0.0269	0.0011
"I54"	"Chlamydomonas bilatus"	3	0.3915	0.0156
"I54"	"Chlamydomonas bilatus"	4	0.1782	0.0072
"I54"	"Chlamydomonas bilatus"	5	0.2347	0.0092
"I57"	"Chlamydomonas bilatus"	1	0.1031	0.0062
"I57"	"Chlamydomonas bilatus"	2	0.1153	0.0071
"I57"	"Chlamydomonas bilatus"	3	0.1175	0.007
"I57"	"Chlamydomonas bilatus"	4	0.1564	0.009
"I57"	"Chlamydomonas bilatus"	5	0.0935	0.0057
"I58"	"Chlamydomonas bilatus"	1	0.1416	0.0082
"I58"	"Chlamydomonas bilatus"	2	0.1713	0.0095
"I58"	"Chlamydomonas bilatus"	3	0.2039	0.0106
"I58"	"Chlamydomonas bilatus"	4	0.1938	0.0105
"I58"	"Chlamydomonas bilatus"	5	0.1568	0.0087
