"Iso"	"Species"	"Period"	"Nutri"	"Pred"	"Phos"	"Trial"	"AucA"	"AucP"	"GrowA"	"GrowP"
"I48"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	3	95	0	0.038299	0
"I48"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	3	93	1	-0.108309	-0.052083
"I48"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	3	102	0	0.187342	0
"I48"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	3	100	1	0.118243	-0.052083
"I49"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	1	93	0	-0.145383	0
"I49"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	1	91	7	-0.127204	0.113134
"I49"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	1	104	0	0.144795	0
"I49"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	1	99	4	0.106131	0.049927
"I49"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	2	94	0	-0.024615	0
"I49"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	2	88	9	-0.182736	0.113368
"I49"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	2	102	0	0.120344	0
"I49"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	2	102	4	0.114074	-0.023352
"I49"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	3	96	0	-0.079772	0
"I49"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	3	91	3	-0.154144	-0.059411
"I49"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	3	102	0	0.073877	0
"I49"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	3	98	1	0.060603	-0.076255
"I50"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	1	94	0	-0.073932	0
"I50"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	1	90	9	-0.136232	0.006514
"I50"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	1	104	0	0.205262	0
"I50"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	1	99	19	-0.025326	0.289926
"I50"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	2	97	0	-0.070456	0
"I50"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	2	89	10	-0.24083	-0.016091
"I50"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	2	105	0	0.158838	0
"I50"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	2	102	12	0.133328	0.133796
"I50"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	3	95	0	-0.098971	0
"I50"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	3	88	8	-0.174064	-0.050261
"I50"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	3	103	0	0.241246	0
"I50"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	3	97	18	0.017367	0.267369
"I51"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	1	91	0	-0.074018	0
"I51"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	1	87	3	-0.232665	-0.102214
"I51"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	1	103	0	0.148929	0
"I51"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	1	95	14	-0.108972	0.291201
"I51"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	2	94	0	-0.093323	0
"I51"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	2	93	0	-0.036276	-0.033371
"I51"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	2	102	0	0.167594	0
"I51"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	2	98	10	-0.031975	0.160594
"I51"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	3	95	0	-0.046556	0
"I51"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	3	86	6	-0.192126	0.001145
"I51"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	3	100	0	0.133289	0
"I51"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	3	99	1	0.088734	-0.045436
"I52"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	1	90	0	0.012956	0
"I52"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	1	86	5	0.061642	-0.088369
"I52"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	1	99	0	0.092572	0
"I52"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	1	95	17	-0.041076	0.340812
"I52"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	2	92	0	0.024153	0
"I52"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	2	93	1	-0.033255	-0.068269
"I52"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	2	102	0	0.103344	0
"I52"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	2	100	8	0.070956	0.288439
"I52"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	3	95	0	-0.0041	0
"I52"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	3	92	5	-0.022937	-0.086127
"I52"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	3	103	0	0.089796	0
"I52"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	3	96	18	-0.04638	0.334959
"I53"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	1	92	0	-0.052992	0
"I53"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	1	91	1	-0.02411	-0.060769
"I53"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	1	102	0	0.189655	0
"I53"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	1	98	6	0.078798	0.105532
"I53"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	2	93	0	0.033494	0
"I53"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	2	92	3	-0.200477	-0.025702
"I53"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	2	102	0	0.198163	0
"I53"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	2	98	7	0.090614	0.138419
"I53"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	3	96	0	0.022153	0
"I53"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	3	94	3	-0.062506	-0.035759
"I53"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	3	102	0	0.138038	0
"I53"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	3	99	1	0.129566	-0.056098
"I54"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	1	94	0	-0.077004	0
"I54"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	1	93	0	-0.161568	-0.039796
"I54"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	1	101	0	0.193062	0
"I54"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	1	100	2	0.1771	-0.090225
"I54"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	2	98	0	-0.133988	0
"I54"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	2	95	0	-0.16568	-0.045543
"I54"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	2	103	0	0.197668	0
"I54"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	2	101	2	0.161946	-0.078002
"I54"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	3	98	0	-0.029219	0
"I54"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	3	94	1	-0.125134	-0.057608
"I54"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	3	102	0	0.171641	0
"I54"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	3	101	1	0.112711	-0.057748
"I57"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	1	107	0	0.028257	0
"I57"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	1	107	11	0.029577	-0.00975
"I57"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	1	114	0	0.301688	0
"I57"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	1	105	27	0.070268	-0.1915
"I57"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	2	108	0	0.017569	0
"I57"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	2	100	9	-0.153756	0.06297
"I57"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	2	115	0	0.288806	0
"I57"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	2	106	28	0.126009	-0.187891
"I57"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	3	107	0	0.028251	0
"I57"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	3	99	11	-0.157649	-0.018286
"I57"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	3	115	0	0.297316	0
"I57"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	3	112	27	0.287692	-0.182737
"I58"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	1	108	0	-0.151271	0
"I58"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	1	106	4	-0.186879	-0.189369
"I58"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	1	118	0	0.193908	0
"I58"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	1	114	20	0.022664	-0.005405
"I58"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	2	107	0	-0.149365	0
"I58"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	2	105	5	-0.192997	-0.208468
"I58"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	2	118	0	0.192413	0
"I58"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	2	117	21	0.182656	0.080921
"I58"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	3	106	0	-0.163019	0
"I58"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	3	104	4	-0.234638	-0.156665
"I58"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	3	118	0	0.2091	0
"I58"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	3	117	21	0.153591	0.048443
