Code	Iso	Species	Period	Volu	Site	Dilu	Cove	Trial	IXMI	IXMF
18A_D4	I40	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	4	3902	3125
18A_D4	I40	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	5	3207	2954
18A_D6	I41	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	1	4226	2579
18A_D6	I41	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	2	4453	3091
18A_D6	I41	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	3	4678	3682
18A_D6	I41	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	4	3348	4036
18A_D6	I41	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	5	4248	3495
18B_A1	I42	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	1	4461	4023
18B_A1	I42	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	2	4702	4359
18B_A1	I42	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	3	5341	4536
18B_A1	I42	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	4	3537	4476
18B_A1	I42	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	5	4654	3880
18B_A3 	I43	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	1	4898	4593
18B_A3 	I43	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	2	5680	4671
18B_A3 	I43	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	3	5727	4889
18B_A3 	I43	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	4	3966	4041
18B_A3 	I43	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	5	5500	3829
18B_A5	I44	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	1	3226	2993
18B_A5	I44	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	2	3509	3000
18B_A5	I44	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	3	3604	3075
18B_A5	I44	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	4	3639	2878
