"Iso"	"Species"	"Trial"	"GR"	"CC"
"I46"	"Chlamydomonas bilatus"	5	1.314	112202
"I47"	"Chlamydomonas bilatus"	1	1.3559	134159
"I47"	"Chlamydomonas bilatus"	2	1.2163	205180
"I47"	"Chlamydomonas bilatus"	3	1.2765	273902
"I47"	"Chlamydomonas bilatus"	4	1.3007	279147
"I47"	"Chlamydomonas bilatus"	5	1.7133	270184
"I48"	"Chlamydomonas bilatus"	1	1.1981	249079
"I48"	"Chlamydomonas bilatus"	2	1.3707	271684
"I48"	"Chlamydomonas bilatus"	3	1.3371	281919
"I48"	"Chlamydomonas bilatus"	4	1.4683	291991
"I48"	"Chlamydomonas bilatus"	5	1.5076	285664
"I49"	"Chlamydomonas bilatus"	1	1.39	249485
"I49"	"Chlamydomonas bilatus"	2	1.3911	274524
"I49"	"Chlamydomonas bilatus"	3	1.0902	281933
"I49"	"Chlamydomonas bilatus"	4	1.2186	291086
"I49"	"Chlamydomonas bilatus"	5	1.3267	235910
"I50"	"Chlamydomonas bilatus"	1	1.2117	116056
"I50"	"Chlamydomonas bilatus"	2	1.2649	157224
"I50"	"Chlamydomonas bilatus"	3	1.3965	129616
"I50"	"Chlamydomonas bilatus"	4	1.3024	148963
"I50"	"Chlamydomonas bilatus"	5	1.0384	166634
"I51"	"Chlamydomonas bilatus"	1	1.4328	195716
"I51"	"Chlamydomonas bilatus"	2	1.083	218970
"I51"	"Chlamydomonas bilatus"	3	1.0467	234369
"I51"	"Chlamydomonas bilatus"	4	1.2151	219700
"I51"	"Chlamydomonas bilatus"	5	1.5644	226027
"I52"	"Chlamydomonas bilatus"	1	1.5354	188117
"I52"	"Chlamydomonas bilatus"	2	1.5047	238547
"I52"	"Chlamydomonas bilatus"	3	1.3161	237506
"I52"	"Chlamydomonas bilatus"	4	1.5287	276552
"I52"	"Chlamydomonas bilatus"	5	1.747	293046
"I53"	"Chlamydomonas bilatus"	1	1.5895	91922
"I53"	"Chlamydomonas bilatus"	2	1.1713	126831
"I53"	"Chlamydomonas bilatus"	3	1.3528	124844
"I53"	"Chlamydomonas bilatus"	4	1.9001	146246
"I53"	"Chlamydomonas bilatus"	5	1.4483	135186
"I54"	"Chlamydomonas bilatus"	1	1.4992	164092
"I54"	"Chlamydomonas bilatus"	2	1.6281	190929
"I54"	"Chlamydomonas bilatus"	3	1.3488	195513
"I54"	"Chlamydomonas bilatus"	4	1.5737	196865
"I54"	"Chlamydomonas bilatus"	5	1.1247	189050
"I57"	"Chlamydomonas bilatus"	1	1.4216	92477
"I57"	"Chlamydomonas bilatus"	2	1.6937	94207
"I57"	"Chlamydomonas bilatus"	3	1.56	113947
"I57"	"Chlamydomonas bilatus"	4	1.5339	106767
"I57"	"Chlamydomonas bilatus"	5	1.4731	111797
"I58"	"Chlamydomonas bilatus"	1	1.6286	159874
"I58"	"Chlamydomonas bilatus"	2	1.3445	171623
"I58"	"Chlamydomonas bilatus"	3	1.3402	174922
"I58"	"Chlamydomonas bilatus"	4	1.318	174408
"I58"	"Chlamydomonas bilatus"	5	1.3917	173516
