Code	Iso	Species	Period	Volu	Site	Dilu	Cove	Trial	Day	IXM
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	20	1372
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	20	912
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	20	1086
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	20	1258
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	20	1280
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	2	63
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	2	84
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	2	91
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	2	85
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	2	86
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	4	148
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	4	171
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	4	190
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	4	227
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	4	256
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	6	376
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	6	540
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	6	512
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	6	641
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	6	741
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	8	576
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	8	711
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	8	936
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	8	942
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	8	778
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	10	564
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	10	555
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	10	687
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	10	786
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	10	810
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	12	558
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	12	692
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	12	782
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	12	1043
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	12	993
