"Iso"	"Species"	"IR"	"IRLSD"	"IRUSD"	"CR"	"CRLSD"	"CRUSD"	"GR"	"GRLSD"	"GRUSD"	"CC"	"CCLSD"	"CCUSD"	"HS"	"HSLSD"	"HSUSD"	"AF"	"AFLSD"	"AFUSD"	"GRM"	"GRMLSD"	"GRMUSD"	"CA"	"CALSD"	"CAUSD"	"CD"	"CDLSD"	"CDUSD"
"I43"	"Chlamydomonas bilatus"	0.1436	0.0218	0.2654	0.0055	9e-04	0.0102	1.5524	1.2084	1.8964	217102	199880	234323	0.0103	0	0.4574	16.7184	14.3204	20.1068	0.1722	0.1475	0.2071	142.5715	99.161	185.982	13.3391	11.4185	15.2597
"I44"	"Chlamydomonas bilatus"	0.1019	0.0639	0.1399	0.0061	0.004	0.0081	1.4949	1.3992	1.5905	268769	256548	280991	0.0297	0	0.1178	10.7407	8.8653	12.6162	0.319	0.2633	0.3747	234.2028	97.0106	371.3949	16.8745	13.1866	20.5625
"I45"	"Chlamydomonas bilatus"	0.0942	0.0744	0.1139	0.0041	0.0032	0.005	1.446	1.227	1.6651	189710	185911	193508	0.0678	0	0.2946	2.326	1.5531	3.1091	0.1577	0.1053	0.2108	191.3499	99.9715	282.7282	15.2864	12.1103	18.4624
"I46"	"Chlamydomonas bilatus"	0.1052	0.0749	0.1356	0.0051	0.0037	0.0065	1.3863	1.2593	1.5133	108060	101647	114472	0.2422	0	0.5508	0.431	0.3328	0.5293	0.1044	0.0806	0.1282	182.7267	45.2829	320.1704	14.6165	10.2423	18.9907
"I47"	"Chlamydomonas bilatus"	0.111	0.0178	0.2042	0.0043	7e-04	0.0078	1.3725	1.1756	1.5695	232514	169810	295219	0.1232	0	0.4723	0.6631	0.5057	0.8328	0.0817	0.0623	0.1026	127.54	72.9611	182.1188	12.5057	10.04	14.9714
"I48"	"Chlamydomonas bilatus"	0.1568	0.0961	0.2174	0.0068	0.004	0.0096	1.3764	1.2549	1.4978	276067	259278	292856	0.0124	0	0.7185	20.121	15.1452	25.879	0.2495	0.1878	0.3209	257.7754	134.642	380.9089	17.7556	14.1338	21.3774
"I49"	"Chlamydomonas bilatus"	0.1144	0.0897	0.1392	0.0044	0.0034	0.0053	1.2833	1.1545	1.4121	266588	243499	289676	0.0161	0	0.3481	19.3168	15.6646	22.9689	0.311	0.2522	0.3698	167.3366	72.2046	262.4687	14.2839	11.261	17.3069
"I50"	"Chlamydomonas bilatus"	0.0564	0	0.1144	0.0029	0	0.006	1.2428	1.1101	1.3755	143699	123088	164309	0.0021	7e-04	0.0035	123.2381	108.2857	138.1905	0.2588	0.2274	0.2902	177.173	31.2859	323.0601	14.5232	10.6792	18.3673
"I51"	"Chlamydomonas bilatus"	0.1343	0.0403	0.2282	0.0064	0.0019	0.0108	1.2684	1.0442	1.4926	218956	204567	233346	0.0198	0	0.3454	10.3434	8.7475	11.9394	0.2048	0.1732	0.2364	178.6507	90.6013	266.7001	14.6921	11.268	18.1162
"I52"	"Chlamydomonas bilatus"	0.1103	0.0292	0.1915	0.0054	0.0015	0.0093	1.5264	1.3735	1.6792	246754	206066	287442	0.0221	0	0.2607	8.8597	6.0633	11.8235	0.1958	0.134	0.2613	170.5975	52.5335	288.6615	14.3488	10.9673	17.7304
"I53"	"Chlamydomonas bilatus"	0.1557	0.0704	0.2409	0.0076	0.0033	0.0119	1.4924	1.2185	1.7663	125006	104679	145332	0.0627	0	0.2247	2.1435	1.6316	2.6555	0.1344	0.1023	0.1665	138.702	90.6488	186.7552	13.1227	11.0048	15.2406
"I54"	"Chlamydomonas bilatus"	0.1717	0.0183	0.3251	0.0068	7e-04	0.0129	1.4349	1.2322	1.6376	187290	173931	200648	0.0116	0	0.0444	32.5431	27.8793	37.2069	0.3775	0.3234	0.4316	146.7523	86.6872	206.8173	13.3948	10.6514	16.1382
"I57"	"Chlamydomonas bilatus"	0.1172	0.0932	0.1412	0.007	0.0057	0.0083	1.5365	1.4334	1.6395	103839	93890	113788	0.1181	0	0.2808	0.7671	0.4445	1.177	0.0906	0.0525	0.139	225.8578	149.6206	302.0949	16.7351	13.9685	19.5017
"I58"	"Chlamydomonas bilatus"	0.1735	0.1478	0.1992	0.0095	0.0084	0.0105	1.4046	1.2765	1.5327	170869	164595	177142	0.104	0	0.2936	1.5548	1.2087	1.9577	0.1617	0.1257	0.2036	80.1882	30.8112	129.5653	9.8325	7.4927	12.1722
