"Iso"	"Species"	"Period"	"Nutri"	"Pred"	"Phos"	"Trial"	"GrowA"	"GrowP"
"I11"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	0.448578579484112	0
"I11"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	0.304300653731017	0.264190532040712
"I11"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	0.195789637765196	0
"I11"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	-0.0807619487046558	0.205464475019098
"I11"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	0.386624520921187	0
"I11"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	0.438026779977125	0.0838951306865998
"I11"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	0.164076590808182	0
"I11"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	-0.205873685361352	0.20555122058171
"I11"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	0.519813513429782	0
"I11"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	0.143612726521113	0.283047510931412
"I13"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	0.0996951221253333	0
"I13"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	0.136096444221307	0.0734093348634269
"I13"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	0.269214456019885	0
"I13"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	0.197100802544861	0.0719904002115797
"I13"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	0.11449288314099	0
"I13"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	-0.0141437701907281	0.0631022224231866
"I13"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	0.244799204399187	0
"I13"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	0.0966417984485973	0.292370753118123
"I13"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	0.0655871711640112	0
"I13"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	-0.0033454920149685	0.105018263869879
"I13"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	0.280555728345135	0
"I13"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	0.259533984173643	-0.0189149979124825
"I14"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	0.0430373408392833	0
"I14"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	0.289998865953435	-0.0121330699962384
"I14"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	0.289964907958086	0
"I14"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	0.239068871308299	0.36703658777001
"I14"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	0.191596779477268	0
"I14"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	0.151176869846112	0.0286200487527531
"I14"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	0.387680965593421	0
"I14"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	0.494782019051399	0.328488075970512
"I14"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	0.280391041835653	0
"I14"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	0.134639134747259	-0.0432720493457344
"I14"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	0.527651826008204	0
"I14"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	0.31414702181424	0.329312975097938
"I15"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	0.104615193377817	0
"I15"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	0.0718730468800643	-0.00584111205017334
"I15"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	0.290213516658237	0
"I15"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	0.0691949574240492	-0.000183416947837632
"I15"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	0.0919510140603585	0
"I15"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	0.0884472758300743	-0.000994831992006247
"I15"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	0.256001295501533	0
"I15"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	0.0941992122761216	0.000974234041010275
"I15"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	0.106716212978552	0
"I15"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	0.108066840714164	0.00640707439084149
"I15"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	0.2806897060736	0
"I15"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	0.118344757039449	0.0028015859915079
"I16"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	0.24110819965134	0
"I16"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	0.163376315909498	0.030051427395862
"I16"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	0.338188111037634	0
